Exchange,January,February,March,April,May,June,July,August,September,October,November,December
Amman Stock Exchange,0.7085,0.7088,0.7095,0.7078,0.7088,0.7088,0.7088,0.7093,0.7086,0.7088,0.7093,0.7090
Athens Stock Exchange (ATHEX),0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
BATS Chi-x Europe,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
BME Spanish Exchanges,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Borsa Istanbul,1.6032,1.6002,1.5439,1.5192,1.5978,1.6240,1.6771,1.7167,1.8595,1.7629,1.8245,1.8886
Borsa Italiana,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Bourse de Casablanca,8.1989,8.1390,7.9642,7.6721,7.8807,7.8272,7.8737,7.8682,8.3417,8.0817,8.3101,8.5714
Budapest Stock Exchange,199.1690,196.0250,187.1930,178.3330,185.4830,183.1330,187.3870,188.8740,218.6780,218.0780,225.5950,242.4720
Cyprus Stock Exchange,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Deutsche Boerse AG,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Amsterdam,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Brussels,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Lisbon,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Paris,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
ICE Futures Europe,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Irish Stock Exchange,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Johannesburg Stock Exchange,7.1800,6.9391,6.7595,6.5872,6.8276,6.7790,6.7104,6.9988,8.0391,7.8965,8.0988,8.0734
Kazakhstan Stock Exchange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.4850
Ljubljana Stock Exchange,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
LSE Group,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Luxembourg Stock Exchange,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Malta Stock Exchange,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
MICEX ,29.7780,28.8546,28.4200,27.3755,27.9896,27.9155,27.6384,28.8523,32.2380,30.2590,30.7143,32.1230
Muscat Securities Market,0.3852,0.3851,0.3850,0.3851,0.3850,0.3851,0.3850,0.3850,0.3851,0.3850,0.3850,0.3850
Nasdaq Nordic Exchanges,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Oslo Bors,5.7760,5.6003,5.5318,5.2391,5.3954,5.3655,5.3960,5.3490,5.8710,5.5145,5.7686,5.9680
RTS Exchange,29.7780,28.8546,28.4200,27.3755,27.9896,27.9155,27.6384,28.8523,32.2380,30.2590,30.7143,32.1230
Saudi Stock Exchange (Tadawul),3.7507,3.7506,3.7502,3.7498,3.7501,3.7501,3.7502,3.7501,3.7504,3.7504,3.7504,3.7502
SIX Swiss Exchange,0.9397,0.9295,0.9149,0.8685,0.8529,0.8420,0.7882,0.8065,0.9083,0.8708,0.9102,0.9351
Stock Exchange of Mauritius,29.7000,29.3500,28.4000,27.4500,28.1000,28.2500,28.0500,27.9000,29.0000,28.8500,29.2000,29.3500
Tehran Stock Exchange,10 385.0000,10 322.0000,10 425.0000,10 500.0000,10 593.0000,10 668.5000,10 605.0000,10 600.0000,10 737.5000,10 777.0000,10 877.5000,11 172.5000
Tel-Aviv Stock Exchange,3.7163,3.6225,3.4733,3.3690,3.4318,3.4025,3.4165,3.5580,3.7545,3.6125,3.7610,3.8238
The Egyptian Exchange,5.8575,5.8910,5.9595,5.9470,5.9420,5.9685,5.9580,5.9533,5.9653,5.9685,6.0048,6.0308
Warsaw Stock Exchange,2.8681,2.8702,2.8396,2.6510,2.7514,2.7453,2.7871,2.8821,3.2908,3.1263,3.3390,3.4340
Wiener Borse,0.7294,0.7240,0.7047,0.6740,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
